tick,robot_id,x,y,battery,health,status,wait_counter
12,R3,7,8,99.35,100.0,idle,0
12,R4,9,8,99.35,100.0,idle,0
13,R0,1,8,99.3,100.0,idle,0
13,R1,3,8,99.3,100.0,idle,0
13,R2,5,8,99.3,100.0,idle,0
13,R3,7,8,99.3,100.0,idle,0
13,R4,9,8,99.3,100.0,idle,0
14,R0,1,8,99.25,100.0,idle,0
14,R1,3,8,99.25,100.0,idle,0
14,R2,5,8,99.25,100.0,idle,0
14,R3,7,8,99.25,100.0,idle,0
14,R4,9,8,99.25,100.0,idle,0
15,R0,1,8,99.2,100.0,idle,0
15,R1,3,8,99.2,100.0,idle,0
15,R2,5,8,99.2,100.0,idle,0
15,R3,7,8,99.2,100.0,idle,0
15,R4,9,8,99.2,100.0,idle,0
16,R0,1,8,99.15,100.0,idle,0
16,R1,3,8,99.15,100.0,idle,0
16,R2,5,8,99.15,100.0,idle,0
16,R3,7,8,99.15,0.0,broken,0
16,R4,9,8,99.15,100.0,idle,0
17,R0,1,8,99.1,100.0,idle,0
17,R1,3,8,99.1,100.0,idle,0
17,R2,5,8,99.1,100.0,idle,0
17,R3,7,8,99.1,0.0,broken,0
17,R4,9,8,99.1,100.0,idle,0
18,R0,1,8,99.05,100.0,idle,0
18,R1,3,8,99.05,100.0,idle,0
18,R2,5,8,99.05,100.0,idle,0
18,R3,7,8,99.05,0.0,broken,0
18,R4,9,8,99.05,100.0,idle,0
19,R0,1,8,99.0,100.0,idle,0
19,R1,3,8,99.0,100.0,idle,0
19,R2,5,8,99.0,100.0,idle,0
19,R3,7,8,99.0,0.0,broken,0
19,R4,9,8,99.0,100.0,idle,0
20,R0,1,8,98.95,100.0,idle,0
20,R1,3,8,98.95,100.0,idle,0
20,R2,5,8,98.95,100.0,idle,0
20,R3,7,8,98.95,0.0,broken,0
20,R4,9,8,98.95,100.0,idle,0
21,R0,1,8,98.9,100.0,idle,0
21,R1,3,8,98.9,100.0,idle,0
21,R2,5,8,98.9,100.0,idle,0
21,R3,7,8,98.9,0.0,broken,0
21,R4,9,8,98.9,100.0,idle,0
22,R0,1,8,98.85,100.0,idle,0
22,R1,3,8,98.85,100.0,idle,0
22,R2,5,8,98.85,100.0,idle,0
22,R3,7,8,98.85,0.0,broken,0
22,R4,9,8,98.85,100.0,idle,0
23,R0,1,8,98.8,100.0,idle,0
23,R1,3,8,98.8,100.0,idle,0
23,R2,5,8,98.8,100.0,idle,0
23,R3,7,8,98.8,0.0,broken,0
23,R4,9,8,98.8,100.0,idle,0
24,R0,1,8,98.75,100.0,idle,0
24,R1,3,8,98.75,100.0,idle,0
24,R2,5,8,98.75,100.0,idle,0
24,R3,7,8,98.75,0.0,broken,0
24,R4,9,8,98.75,100.0,idle,0
25,R0,1,8,98.7,100.0,idle,0
25,R1,3,8,98.7,100.0,idle,0
25,R2,5,8,98.7,100.0,idle,0
25,R3,7,8,98.7,0.0,broken,0
25,R4,9,8,98.7,100.0,idle,0
26,R0,1,8,98.65,100.0,idle,0
26,R1,3,8,98.65,100.0,idle,0
26,R2,5,8,98.65,100.0,idle,0
26,R3,7,8,98.65,0.0,broken,0
26,R4,9,8,98.65,100.0,idle,0
27,R0,1,8,98.6,100.0,idle,0
27,R1,3,8,98.6,100.0,idle,0
27,R2,5,8,98.6,100.0,idle,0
27,R3,7,8,98.6,0.0,broken,0
27,R4,9,8,98.6,100.0,idle,0
28,R0,1,8,98.55,100.0,idle,0
28,R1,3,8,98.55,100.0,idle,0
28,R2,5,8,98.55,100.0,idle,0
28,R3,7,8,98.55,0.0,broken,0
28,R4,9,8,98.55,100.0,idle,0
29,R0,1,8,98.5,100.0,idle,0
29,R1,3,8,98.5,100.0,idle,0
29,R2,5,8,98.5,100.0,idle,0
29,R3,7,8,98.5,0.0,broken,0
29,R4,9,8,98.5,100.0,idle,0
30,R0,1,8,98.45,100.0,idle,0
30,R1,3,8,98.45,100.0,idle,0
30,R2,5,8,98.45,100.0,idle,0
30,R3,7,8,98.45,0.0,broken,0
30,R4,9,8,98.45,100.0,idle,0
31,R0,1,8,98.4,100.0,idle,0
31,R1,3,8,98.4,100.0,idle,0
31,R2,5,8,98.4,100.0,idle,0
31,R3,7,8,98.4,0.0,broken,0
31,R4,9,8,98.4,100.0,idle,0
32,R0,1,8,98.35,100.0,idle,0
32,R1,3,8,98.35,100.0,idle,0
32,R2,5,8,98.35,100.0,idle,0
32,R3,7,8,98.35,0.0,broken,0
32,R4,9,8,98.35,100.0,idle,0
33,R0,1,8,98.3,100.0,idle,0
33,R1,3,8,98.3,100.0,idle,0
33,R2,5,8,98.3,100.0,idle,0
33,R3,7,8,98.3,0.0,broken,0
33,R4,9,8,98.3,100.0,idle,0
34,R0,1,8,98.25,100.0,idle,0
34,R1,3,8,98.25,100.0,idle,0
34,R2,5,8,98.25,100.0,idle,0
34,R3,7,8,98.25,0.0,broken,0
34,R4,9,8,98.25,100.0,idle,0
35,R0,1,8,98.2,100.0,idle,0
35,R1,3,8,98.2,100.0,idle,0
35,R2,5,8,98.2,100.0,idle,0
35,R3,7,8,98.2,0.0,broken,0
35,R4,9,8,98.2,100.0,idle,0
36,R0,1,8,98.15,100.0,idle,0
36,R1,3,8,98.15,100.0,idle,0
36,R2,5,8,98.15,100.0,idle,0
36,R3,7,8,98.15,0.0,broken,0
36,R4,9,8,98.15,100.0,idle,0
37,R0,1,8,98.1,100.0,idle,0
37,R1,3,8,98.1,100.0,idle,0
37,R2,5,8,98.1,100.0,idle,0
37,R3,7,8,98.1,0.0,broken,0
37,R4,9,8,98.1,100.0,idle,0
38,R0,1,8,98.05,100.0,idle,0
38,R1,3,8,98.05,100.0,idle,0
38,R2,5,8,98.05,100.0,idle,0
38,R3,7,8,98.05,0.0,broken,0
38,R4,9,8,98.05,100.0,idle,0
39,R0,1,8,98.0,100.0,idle,0
39,R1,3,8,98.0,100.0,idle,0
39,R2,5,8,98.0,100.0,idle,0
39,R3,7,8,98.0,0.0,broken,0
39,R4,9,8,98.0,100.0,idle,0
40,R0,1,8,97.95,100.0,idle,0
40,R1,3,8,97.95,100.0,idle,0
40,R2,5,8,97.95,100.0,idle,0
40,R3,7,8,97.95,0.0,broken,0
40,R4,9,8,97.95,100.0,idle,0
41,R0,1,8,97.9,100.0,idle,0
41,R1,3,8,97.9,100.0,idle,0
41,R2,5,8,97.9,100.0,idle,0
41,R3,7,8,97.9,0.0,broken,0
41,R4,9,8,97.9,100.0,idle,0
42,R0,1,8,97.85,100.0,idle,0
42,R1,3,8,97.85,100.0,idle,0
42,R2,5,8,97.85,100.0,idle,0
42,R3,7,8,97.85,0.0,broken,0
42,R4,9,8,97.85,100.0,idle,0
43,R0,1,8,97.8,100.0,idle,0
43,R1,3,8,97.8,100.0,idle,0
43,R2,5,8,97.8,100.0,idle,0
43,R3,7,8,97.8,0.0,broken,0
43,R4,9,8,97.8,100.0,idle,0
44,R0,1,8,97.75,100.0,idle,0
44,R1,3,8,97.75,100.0,idle,0
44,R2,5,8,97.75,100.0,idle,0
44,R3,7,8,97.75,0.0,broken,0
44,R4,9,8,97.75,100.0,idle,0
45,R0,1,8,97.7,100.0,idle,0
45,R1,3,8,97.7,100.0,idle,0
45,R2,5,8,97.7,100.0,idle,0
45,R3,7,8,97.7,0.0,broken,0
45,R4,9,8,97.7,100.0,idle,0
46,R0,1,8,97.65,100.0,idle,0
46,R1,3,8,97.65,100.0,idle,0
46,R2,5,8,97.65,100.0,idle,0
46,R3,7,8,97.65,0.0,broken,0
46,R4,9,8,97.65,100.0,idle,0
47,R0,1,8,97.6,100.0,idle,0
47,R1,3,8,97.6,100.0,idle,0
47,R2,5,8,97.6,100.0,idle,0
47,R3,7,8,97.6,0.0,broken,0
47,R4,9,8,97.6,100.0,idle,0
48,R0,1,8,97.55,100.0,idle,0
48,R1,3,8,97.55,100.0,idle,0
48,R2,5,8,97.55,100.0,idle,0
48,R3,7,8,97.55,0.0,broken,0
48,R4,9,8,97.55,100.0,idle,0
49,R0,1,8,97.5,100.0,idle,0
49,R1,3,8,97.5,100.0,idle,0
49,R2,5,8,97.5,100.0,idle,0
49,R3,7,8,97.5,0.0,broken,0
49,R4,9,8,97.5,100.0,idle,0
50,R0,1,8,97.45,100.0,idle,0
50,R1,3,8,97.45,100.0,idle,0
50,R2,5,8,97.45,100.0,idle,0
50,R3,7,8,97.45,0.0,broken,0
50,R4,9,8,97.45,100.0,idle,0
51,R0,1,8,97.4,100.0,idle,0
51,R1,3,8,97.4,100.0,idle,0
51,R2,5,8,97.4,100.0,idle,0
51,R3,7,8,97.4,0.0,broken,0
51,R4,9,8,97.4,100.0,idle,0
52,R0,1,8,97.35,100.0,idle,0
52,R1,3,8,97.35,100.0,idle,0
52,R2,5,8,97.35,100.0,idle,0
52,R3,7,8,97.35,0.0,broken,0
52,R4,9,8,97.35,100.0,idle,0
53,R0,1,8,97.3,100.0,idle,0
53,R1,3,8,97.3,100.0,idle,0
53,R2,5,8,97.3,100.0,idle,0
53,R3,7,8,97.3,0.0,broken,0
53,R4,9,8,97.3,100.0,idle,0
54,R0,1,8,97.25,100.0,idle,0
54,R1,3,8,97.25,100.0,idle,0
54,R2,5,8,97.25,100.0,idle,0
54,R3,7,8,97.25,0.0,broken,0
54,R4,9,8,97.25,100.0,idle,0
55,R0,1,8,97.2,100.0,idle,0
55,R1,3,8,97.2,100.0,idle,0
55,R2,5,8,97.2,100.0,idle,0
55,R3,7,8,97.2,0.0,broken,0
55,R4,9,8,97.2,100.0,idle,0
56,R0,1,8,97.15,100.0,idle,0
56,R1,3,8,97.15,100.0,idle,0
56,R2,5,8,97.15,100.0,idle,0
56,R3,7,8,97.15,0.0,broken,0
56,R4,9,8,97.15,100.0,idle,0
57,R0,1,8,97.1,100.0,idle,0
57,R1,3,8,97.1,100.0,idle,0
57,R2,5,8,97.1,100.0,idle,0
57,R3,7,8,97.1,0.0,broken,0
57,R4,9,8,97.1,100.0,idle,0
58,R0,1,8,97.05,100.0,idle,0
58,R1,3,8,97.05,100.0,idle,0
58,R2,5,8,97.05,100.0,idle,0
58,R3,7,8,97.05,0.0,broken,0
58,R4,9,8,97.05,100.0,idle,0
59,R0,1,8,97.0,100.0,idle,0
59,R1,3,8,97.0,100.0,idle,0
59,R2,5,8,97.0,100.0,idle,0
59,R3,7,8,97.0,0.0,broken,0
59,R4,9,8,97.0,100.0,idle,0
60,R0,1,8,96.95,100.0,idle,0
60,R1,3,8,96.95,100.0,idle,0
60,R2,5,8,96.95,100.0,idle,0
60,R3,7,8,96.95,0.0,broken,0
60,R4,9,8,96.95,100.0,idle,0
61,R0,1,8,96.9,100.0,idle,0
61,R1,3,8,96.9,100.0,idle,0
61,R2,5,8,96.9,100.0,idle,0
61,R3,7,8,96.9,0.0,broken,0
61,R4,9,8,96.9,100.0,idle,0
62,R0,1,8,96.85,100.0,idle,0
62,R1,3,8,96.85,100.0,idle,0
62,R2,5,8,96.85,100.0,idle,0
62,R3,7,8,96.85,0.0,broken,0
62,R4,9,8,96.85,100.0,idle,0
63,R0,1,8,96.8,100.0,idle,0
63,R1,3,8,96.8,100.0,idle,0
63,R2,5,8,96.8,100.0,idle,0
63,R3,7,8,96.8,0.0,broken,0
63,R4,9,8,96.8,100.0,idle,0
64,R0,1,8,96.75,100.0,idle,0
64,R1,3,8,96.75,100.0,idle,0
64,R2,5,8,96.75,100.0,idle,0
64,R3,7,8,96.75,0.0,broken,0
64,R4,9,8,96.75,100.0,idle,0
65,R0,1,8,96.7,100.0,idle,0
65,R1,3,8,96.7,100.0,idle,0
65,R2,5,8,96.7,100.0,idle,0
65,R3,7,8,96.7,0.0,broken,0
65,R4,9,8,96.7,100.0,idle,0
66,R0,1,8,96.65,100.0,idle,0
66,R1,3,8,96.65,100.0,idle,0
66,R2,5,8,96.65,100.0,idle,0
66,R3,7,8,96.65,0.0,broken,0
66,R4,9,8,96.65,100.0,idle,0
67,R0,1,8,96.6,100.0,idle,0
67,R1,3,8,96.6,100.0,idle,0
67,R2,5,8,96.6,100.0,idle,0
67,R3,7,8,96.6,0.0,broken,0
67,R4,9,8,96.6,100.0,idle,0
68,R0,1,8,96.55,100.0,idle,0
68,R1,3,8,96.55,100.0,idle,0
68,R2,5,8,96.55,100.0,idle,0
68,R3,7,8,96.55,0.0,broken,0
68,R4,9,8,96.55,100.0,idle,0
69,R0,1,8,96.5,100.0,idle,0
69,R1,3,8,96.5,100.0,idle,0
69,R2,5,8,96.5,100.0,idle,0
69,R3,7,8,96.5,0.0,broken,0
69,R4,9,8,96.5,100.0,idle,0
70,R0,1,8,96.45,100.0,idle,0
70,R1,3,8,96.45,100.0,idle,0
70,R2,5,8,96.45,100.0,idle,0
70,R3,7,8,96.45,0.0,broken,0
70,R4,9,8,96.45,100.0,idle,0
71,R0,1,8,96.4,100.0,idle,0
71,R1,3,8,96.4,100.0,idle,0
71,R2,5,8,96.4,100.0,idle,0
71,R3,7,8,96.4,0.0,broken,0
71,R4,9,8,96.4,100.0,idle,0
72,R0,1,8,96.35,100.0,idle,0
72,R1,3,8,96.35,100.0,idle,0
72,R2,5,8,96.35,100.0,idle,0
72,R3,7,8,96.35,0.0,broken,0
72,R4,9,8,96.35,100.0,idle,0
73,R0,1,8,96.3,100.0,idle,0
73,R1,3,8,96.3,100.0,idle,0
73,R2,5,8,96.3,100.0,idle,0
73,R3,7,8,96.3,0.0,broken,0
73,R4,9,8,96.3,100.0,idle,0
74,R0,1,8,96.25,100.0,idle,0
74,R1,3,8,96.25,100.0,idle,0
74,R2,5,8,96.25,100.0,idle,0
74,R3,7,8,96.25,0.0,broken,0
74,R4,9,8,96.25,100.0,idle,0
75,R0,1,8,96.2,100.0,idle,0
75,R1,3,8,96.2,100.0,idle,0
75,R2,5,8,96.2,100.0,idle,0
75,R3,7,8,96.2,0.0,broken,0
75,R4,9,8,96.2,100.0,idle,0
76,R0,1,8,96.15,100.0,idle,0
76,R1,3,8,96.15,100.0,idle,0
76,R2,5,8,96.15,100.0,idle,0
76,R3,7,8,96.15,0.0,broken,0
76,R4,9,8,96.15,100.0,idle,0
77,R0,1,8,96.1,100.0,idle,0
77,R1,3,8,96.1,100.0,idle,0
77,R2,5,8,96.1,100.0,idle,0
77,R3,7,8,96.1,0.0,broken,0
77,R4,9,8,96.1,100.0,idle,0
78,R0,1,8,96.05,100.0,idle,0
78,R1,3,8,96.05,100.0,idle,0
78,R2,5,8,96.05,100.0,idle,0
78,R3,7,8,96.05,0.0,broken,0
78,R4,9,8,96.05,100.0,idle,0
79,R0,1,8,96.0,100.0,idle,0
79,R1,3,8,96.0,100.0,idle,0
79,R2,5,8,96.0,100.0,idle,0
79,R3,7,8,96.0,0.0,broken,0
79,R4,9,8,96.0,100.0,idle,0
80,R0,1,8,95.95,100.0,idle,0
80,R1,3,8,95.95,100.0,idle,0
80,R2,5,8,95.95,100.0,idle,0
80,R3,7,8,95.95,0.0,broken,0
80,R4,9,8,95.95,100.0,idle,0
81,R0,1,8,95.9,100.0,idle,0
81,R1,3,8,95.9,100.0,idle,0
81,R2,5,8,95.9,100.0,idle,0
81,R3,7,8,95.9,0.0,broken,0
81,R4,9,8,95.9,100.0,idle,0
82,R0,1,8,95.85,100.0,idle,0
82,R1,3,8,95.85,100.0,idle,0
82,R2,5,8,95.85,100.0,idle,0
82,R3,7,8,95.85,0.0,broken,0
82,R4,9,8,95.85,100.0,idle,0
83,R0,1,8,95.8,100.0,idle,0
83,R1,3,8,95.8,100.0,idle,0
83,R2,5,8,95.8,100.0,idle,0
83,R3,7,8,95.8,0.0,broken,0
83,R4,9,8,95.8,100.0,idle,0
84,R0,1,8,95.75,100.0,idle,0
84,R1,3,8,95.75,100.0,idle,0
84,R2,5,8,95.75,100.0,idle,0
84,R3,7,8,95.75,0.0,broken,0
84,R4,9,8,95.75,100.0,idle,0
85,R0,1,8,95.7,100.0,idle,0
85,R1,3,8,95.7,100.0,idle,0
85,R2,5,8,95.7,100.0,idle,0
85,R3,7,8,95.7,0.0,broken,0
85,R4,9,8,95.7,100.0,idle,0
86,R0,1,8,95.65,100.0,idle,0
86,R1,3,8,95.65,100.0,idle,0
86,R2,5,8,95.65,100.0,idle,0
86,R3,7,8,95.65,0.0,broken,0
86,R4,9,8,95.65,100.0,idle,0
87,R0,1,8,95.6,100.0,idle,0
87,R1,3,8,95.6,100.0,idle,0
87,R2,5,8,95.6,100.0,idle,0
87,R3,7,8,95.6,0.0,broken,0
87,R4,9,8,95.6,100.0,idle,0
88,R0,1,8,95.55,100.0,idle,0
88,R1,3,8,95.55,100.0,idle,0
88,R2,5,8,95.55,100.0,idle,0
88,R3,7,8,95.55,0.0,broken,0
88,R4,9,8,95.55,100.0,idle,0
89,R0,1,8,95.5,100.0,idle,0
89,R1,3,8,95.5,100.0,idle,0
89,R2,5,8,95.5,100.0,idle,0
89,R3,7,8,95.5,0.0,broken,0
89,R4,9,8,95.5,100.0,idle,0
90,R0,1,8,95.45,100.0,idle,0
90,R1,3,8,95.45,100.0,idle,0
90,R2,5,8,95.45,100.0,idle,0
90,R3,7,8,95.45,0.0,broken,0
90,R4,9,8,95.45,100.0,idle,0
91,R0,1,8,95.4,100.0,idle,0
91,R1,3,8,95.4,100.0,idle,0
91,R2,5,8,95.4,100.0,idle,0
91,R3,7,8,95.4,0.0,broken,0
91,R4,9,8,95.4,100.0,idle,0
92,R0,1,8,95.35,100.0,idle,0
92,R1,3,8,95.35,100.0,idle,0
92,R2,5,8,95.35,100.0,idle,0
92,R3,7,8,95.35,0.0,broken,0
92,R4,9,8,95.35,100.0,idle,0
93,R0,1,8,95.3,100.0,idle,0
93,R1,3,8,95.3,100.0,idle,0
93,R2,5,8,95.3,100.0,idle,0
93,R3,7,8,95.3,0.0,broken,0
93,R4,9,8,95.3,100.0,idle,0
94,R0,1,8,95.25,100.0,idle,0
94,R1,3,8,95.25,100.0,idle,0
94,R2,5,8,95.25,100.0,idle,0
94,R3,7,8,95.25,0.0,broken,0
94,R4,9,8,95.25,100.0,idle,0
95,R0,1,8,95.2,100.0,idle,0
95,R1,3,8,95.2,100.0,idle,0
95,R2,5,8,95.2,100.0,idle,0
95,R3,7,8,95.2,0.0,broken,0
95,R4,9,8,95.2,100.0,idle,0
96,R0,1,8,95.15,100.0,idle,0
96,R1,3,8,95.15,100.0,idle,0
96,R2,5,8,95.15,100.0,idle,0
96,R3,7,8,95.15,0.0,broken,0
96,R4,9,8,95.15,100.0,idle,0
97,R0,1,8,95.1,100.0,idle,0
97,R1,3,8,95.1,100.0,idle,0
97,R2,5,8,95.1,100.0,idle,0
97,R3,7,8,95.1,0.0,broken,0
97,R4,9,8,95.1,100.0,idle,0
98,R0,1,8,95.05,100.0,idle,0
98,R1,3,8,95.05,100.0,idle,0
98,R2,5,8,95.05,100.0,idle,0
98,R3,7,8,95.05,0.0,broken,0
98,R4,9,8,95.05,100.0,idle,0
99,R0,1,8,95.0,100.0,idle,0
99,R1,3,8,95.0,100.0,idle,0
99,R2,5,8,95.0,100.0,idle,0
99,R3,7,8,95.0,0.0,broken,0
99,R4,9,8,95.0,100.0,idle,0
100,R0,1,8,94.95,100.0,idle,0
100,R1,3,8,94.95,100.0,idle,0
100,R2,5,8,94.95,100.0,idle,0
100,R3,7,8,94.95,0.0,broken,0
100,R4,9,8,94.95,100.0,idle,0
101,R0,1,8,94.9,100.0,idle,0
101,R1,3,8,94.9,100.0,idle,0
101,R2,5,8,94.9,100.0,idle,0
101,R3,7,8,94.9,0.0,broken,0
101,R4,9,8,94.9,100.0,idle,0
102,R0,1,8,94.85,100.0,idle,0
102,R1,3,8,94.85,100.0,idle,0
102,R2,5,8,94.85,100.0,idle,0
102,R3,7,8,94.85,0.0,broken,0
102,R4,9,8,94.85,100.0,idle,0
103,R0,1,8,94.8,100.0,idle,0
103,R1,3,8,94.8,100.0,idle,0
103,R2,5,8,94.8,100.0,idle,0
103,R3,7,8,94.8,0.0,broken,0
103,R4,9,8,94.8,100.0,idle,0
104,R0,1,8,94.75,100.0,idle,0
104,R1,3,8,94.75,100.0,idle,0
104,R2,5,8,94.75,100.0,idle,0
104,R3,7,8,94.75,0.0,broken,0
104,R4,9,8,94.75,100.0,idle,0
105,R0,1,8,94.7,100.0,idle,0
105,R1,3,8,94.7,100.0,idle,0
105,R2,5,8,94.7,100.0,idle,0
105,R3,7,8,94.7,0.0,broken,0
105,R4,9,8,94.7,100.0,idle,0
106,R0,1,8,94.65,100.0,idle,0
106,R1,3,8,94.65,100.0,idle,0
106,R2,5,8,94.65,100.0,idle,0
106,R3,7,8,94.65,0.0,broken,0
106,R4,9,8,94.65,100.0,idle,0
107,R0,1,8,94.6,100.0,idle,0
107,R1,3,8,94.6,100.0,idle,0
107,R2,5,8,94.6,100.0,idle,0
107,R3,7,8,94.6,0.0,broken,0
107,R4,9,8,94.6,100.0,idle,0
108,R0,1,8,94.55,100.0,idle,0
108,R1,3,8,94.55,100.0,idle,0
108,R2,5,8,94.55,100.0,idle,0
108,R3,7,8,94.55,0.0,broken,0
108,R4,9,8,94.55,100.0,idle,0
109,R0,1,8,94.5,100.0,idle,0
109,R1,3,8,94.5,100.0,idle,0
109,R2,5,8,94.5,100.0,idle,0
109,R3,7,8,94.5,0.0,broken,0
109,R4,9,8,94.5,100.0,idle,0
110,R0,1,8,94.45,100.0,idle,0
110,R1,3,8,94.45,100.0,idle,0
110,R2,5,8,94.45,100.0,idle,0
110,R3,7,8,94.45,0.0,broken,0
110,R4,9,8,94.45,100.0,idle,0
111,R0,1,8,94.4,100.0,idle,0
111,R1,3,8,94.4,100.0,idle,0
111,R2,5,8,94.4,100.0,idle,0
111,R3,7,8,94.4,0.0,broken,0
111,R4,9,8,94.4,100.0,idle,0
112,R0,1,8,94.35,100.0,idle,0
112,R1,3,8,94.35,100.0,idle,0
112,R2,5,8,94.35,100.0,idle,0
112,R3,7,8,94.35,0.0,broken,0
112,R4,9,8,94.35,100.0,idle,0
113,R0,1,8,94.3,100.0,idle,0
113,R1,3,8,94.3,100.0,idle,0
113,R2,5,8,94.3,100.0,idle,0
113,R3,7,8,94.3,0.0,broken,0
113,R4,9,8,94.3,100.0,idle,0
114,R0,1,8,94.25,100.0,idle,0
114,R1,3,8,94.25,100.0,idle,0
114,R2,5,8,94.25,100.0,idle,0
114,R3,7,8,94.25,0.0,broken,0
114,R4,9,8,94.25,100.0,idle,0
115,R0,1,8,94.2,100.0,idle,0
115,R1,3,8,94.2,100.0,idle,0
115,R2,5,8,94.2,100.0,idle,0
115,R3,7,8,94.2,0.0,broken,0
115,R4,9,8,94.2,100.0,idle,0
116,R0,1,8,94.15,100.0,idle,0
116,R1,3,8,94.15,100.0,idle,0
116,R2,5,8,94.15,100.0,idle,0
116,R3,7,8,94.15,0.0,broken,0
116,R4,9,8,94.15,100.0,idle,0
117,R0,1,8,94.1,100.0,idle,0
117,R1,3,8,94.1,100.0,idle,0
117,R2,5,8,94.1,100.0,idle,0
117,R3,7,8,94.1,0.0,broken,0
117,R4,9,8,94.1,100.0,idle,0
118,R0,1,8,94.05,100.0,idle,0
118,R1,3,8,94.05,100.0,idle,0
118,R2,5,8,94.05,100.0,idle,0
118,R3,7,8,94.05,0.0,broken,0
118,R4,9,8,94.05,100.0,idle,0
119,R0,1,8,94.0,100.0,idle,0
119,R1,3,8,94.0,100.0,idle,0
119,R2,5,8,94.0,100.0,idle,0
119,R3,7,8,94.0,0.0,broken,0
119,R4,9,8,94.0,100.0,idle,0
120,R0,1,8,93.95,100.0,idle,0
120,R1,3,8,93.95,100.0,idle,0
120,R2,5,8,93.95,100.0,idle,0
120,R3,7,8,93.95,0.0,broken,0
120,R4,9,8,93.95,100.0,idle,0
121,R0,1,8,93.9,100.0,idle,0
121,R1,3,8,93.9,100.0,idle,0
121,R2,5,8,93.9,100.0,idle,0
121,R3,7,8,93.9,0.0,broken,0
121,R4,9,8,93.9,100.0,idle,0
122,R0,1,8,93.85,100.0,idle,0
122,R1,3,8,93.85,100.0,idle,0
122,R2,5,8,93.85,100.0,idle,0
122,R3,7,8,93.85,0.0,broken,0
122,R4,9,8,93.85,100.0,idle,0
123,R0,1,8,93.8,100.0,idle,0
123,R1,3,8,93.8,100.0,idle,0
123,R2,5,8,93.8,100.0,idle,0
123,R3,7,8,93.8,0.0,broken,0
123,R4,9,8,93.8,100.0,idle,0
124,R0,1,8,93.75,100.0,idle,0
124,R1,3,8,93.75,100.0,idle,0
124,R2,5,8,93.75,100.0,idle,0
124,R3,7,8,93.75,0.0,broken,0
124,R4,9,8,93.75,100.0,idle,0
125,R0,1,8,93.7,100.0,idle,0
125,R1,3,8,93.7,100.0,idle,0
125,R2,5,8,93.7,100.0,idle,0
125,R3,7,8,93.7,0.0,broken,0
125,R4,9,8,93.7,100.0,idle,0
126,R0,1,8,93.65,100.0,idle,0
126,R1,3,8,93.65,100.0,idle,0
126,R2,5,8,93.65,100.0,idle,0
126,R3,7,8,93.65,0.0,broken,0
